"z","time","maxtrop","replicate"
0.2,9150000,3.879213,11
0.2,9200000,3.877329,11
0.2,9250000,3.882969,11
0.2,9300000,3.885197,11
0.2,9350000,3.880082,11
0.2,9400000,3.884641,11
0.2,9450000,3.884964,11
0.2,9500000,3.884019,11
0.2,9550000,3.862031,11
0.2,9600000,3.862028,11
0.2,9650000,3.862029,11
0.2,9700000,3.853624,11
0.2,9750000,3.849282,11
0.2,9800000,3.824063,11
0.2,9850000,3.797236,11
0.2,9900000,3.798661,11
0.2,9950000,3.820351,11
0.2,1e+07,3.806272,11
0.2,10050000,3.806326,11
0.2,10100000,3.92751,11
0.2,10150000,3.940061,11
0.2,10200000,3.921632,11
0.2,10250000,3.924476,11
0.2,10300000,3.623637,11
0.2,10350000,3.549829,11
0.2,10400000,3.554057,11
0.2,10450000,3.540011,11
0.2,10500000,3.564082,11
0.2,10550000,3.794987,11
0.2,10600000,3.589098,11
0.2,10650000,3.590076,11
0.2,10700000,3.571592,11
0.2,10750000,3.516702,11
0.2,10800000,3.524849,11
0.2,10850000,3.605503,11
0.2,10900000,3.996633,11
0.2,10950000,3.99927,11
0.2,1.1e+07,3.998174,11
0.2,11050000,3.997227,11
0.2,11100000,3.996718,11
0.2,11150000,4.022499,11
0.2,11200000,4.027845,11
0.2,11250000,4.028246,11
0.2,11300000,4.019476,11
0.2,11350000,4.032108,11
0.2,11400000,3.926568,11
0.2,11450000,3.927074,11
0.2,11500000,3.909493,11
0.2,11550000,3.88375,11
0.2,11600000,3.85277,11
0.2,11650000,3.877265,11
0.2,11700000,3.808508,11
0.2,11750000,3.953308,11
0.2,11800000,3.937246,11
0.2,11850000,3.963303,11
0.2,11900000,3.963675,11
0.2,11950000,3.954113,11
0.2,1.2e+07,3.954113,11
0.2,12050000,3.953583,11
0.2,12100000,3.943384,11
0.2,12150000,3.945809,11
0.2,12200000,3.928692,11
0.2,12250000,3.93904,11
0.2,12300000,3.939944,11
0.2,12350000,3.915223,11
0.2,12400000,3.899436,11
0.2,12450000,3.917027,11
0.2,12500000,3.912187,11
0.2,12550000,3.994625,11
0.2,12600000,4.022619,11
0.2,12650000,4.020254,11
0.2,12700000,4.020294,11
0.2,12750000,3.946792,11
0.2,12800000,3.942545,11
0.2,12850000,3.861601,11
0.2,12900000,3.88484,11
0.2,12950000,3.774077,11
0.2,1.3e+07,3.774077,11
0.2,13050000,3.774077,11
0.2,13100000,3.774077,11
0.2,13150000,3.721222,11
0.2,13200000,3.717062,11
0.2,13250000,3.76802,11
0.2,13300000,3.779427,11
0.2,13350000,3.779425,11
0.2,13400000,3.675649,11
0.2,13450000,3.705544,11
0.2,13500000,3.698819,11
0.2,13550000,3.732847,11
0.2,13600000,3.717996,11
0.2,13650000,3.714233,11
0.2,13700000,3.69084,11
0.2,13750000,3.64552,11
0.2,13800000,3.637483,11
0.2,13850000,3.649043,11
0.2,13900000,3.635764,11
0.2,13950000,3.615783,11
0.2,1.4e+07,3.634129,11
0.2,14050000,3.604577,11
0.2,14100000,3.596301,11
0.2,14150000,3.650455,11
0.2,14200000,3.669148,11
0.2,14250000,3.659981,11
0.2,14300000,3.652604,11
0.2,14350000,3.675174,11
0.2,14400000,3.667122,11
0.2,14450000,3.667191,11
0.2,14500000,3.667192,11
0.2,14550000,3.66716,11
0.2,14600000,3.661707,11
0.2,14650000,3.657885,11
0.2,14700000,3.665144,11
0.2,14750000,3.658373,11
0.2,14800000,3.663144,11
0.2,14850000,3.663142,11
0.2,14900000,3.645796,11
0.2,14950000,3.678384,11
0.2,1.5e+07,3.678686,11
0.2,15050000,3.706751,11
0.2,15100000,3.7072,11
0.2,15150000,3.754766,11
0.2,15200000,3.815936,11
0.2,15250000,3.775276,11
0.2,15300000,3.774935,11
0.2,15350000,3.774699,11
0.2,15400000,3.774128,11
0.2,15450000,3.773033,11
0.2,15500000,3.77161,11
0.2,15550000,3.770447,11
0.2,15600000,3.7698,11
0.2,15650000,3.769515,11
0.2,15700000,3.769403,11
0.2,15750000,3.74802,11
0.2,15800000,3.747581,11
0.2,15850000,3.747675,11
0.2,15900000,3.747875,11
0.2,15950000,3.748226,11
0.2,1.6e+07,3.748579,11
0.2,16050000,3.748778,11
0.2,16100000,3.748856,11
0.2,16150000,3.748882,11
0.2,16200000,3.748889,11
0.2,16250000,3.747955,11
0.2,16300000,3.764849,11
0.2,16350000,3.762971,11
0.2,16400000,3.770017,11
0.2,16450000,3.77352,11
0.2,16500000,3.772788,11
0.2,16550000,3.77278,11
0.2,16600000,3.77278,11
0.2,16650000,3.77278,11
0.2,16700000,3.77278,11
0.2,16750000,3.772801,11
0.2,16800000,3.773744,11
0.2,16850000,3.805327,11
0.2,16900000,3.804998,11
0.2,16950000,3.807308,11
0.2,1.7e+07,3.808307,11
0.2,17050000,3.808568,11
0.2,17100000,3.8085,11
0.2,17150000,3.808502,11
0.2,17200000,3.808508,11
0.2,17250000,3.808505,11
0.2,17300000,3.866003,11
0.2,17350000,3.865576,11
0.2,17400000,3.865863,11
0.2,17450000,3.865862,11
0.2,17500000,3.86586,11
0.2,17550000,3.86586,11
0.2,17600000,3.86586,11
0.2,17650000,3.865985,11
0.2,17700000,3.865902,11
0.2,17750000,3.865869,11
0.2,17800000,3.865868,11
0.2,17850000,3.865868,11
0.2,17900000,3.865868,11
0.2,17950000,3.865815,11
0.2,1.8e+07,3.859082,11
0.2,18050000,3.85874,11
0.2,18100000,3.858723,11
