"z","N","turnover","sd","se","ci","replicate","fit","se.fit"
1.2,2500,0.0706633651316004,0.120753073131276,0.00241506146262552,0.00473572716847314,4,0.0656945049721939,0.00122599429640346
1.3,2500,0.062888002401795,0.12499235439928,0.0024998470879856,0.00490198446491362,4,0.0698751242581997,0.00125703910875344
1.4,2500,0.0729747263331783,0.14335441399954,0.0028670882799908,0.00562211275865518,4,0.0731385613256988,0.00127244616381925
1.5,2500,0.162646535064523,0.208909465611832,0.00417818931223664,0.00819306876748061,4,0.0755744920429599,0.00132485452029905
1.6,2500,0.110091358526235,0.14572148993638,0.00291442979872761,0.00571494539250248,4,0.0775347147309141,0.00140817384837798
1.7,2500,0.0452678389584272,0.131060037665643,0.00262120075331285,0.00513994853281742,4,0.0794823945464521,0.00147434131045557
1.8,2500,0.133977866678796,0.189424375769235,0.00378848751538471,0.00742889716542615,4,0.0818370586929422,0.00149763660253812
1.9,2500,0.0662501195313115,0.146028366704527,0.00292056733409055,0.00572698056983256,4,0.0848657214289132,0.00150331727733144
2,2500,0.0469595588725,0.105065815980354,0.00210131631960708,0.00412050001141618,4,0.0886302653145231,0.00154686033172631
2.1,2500,0.0765820334567393,0.159870069621821,0.00319740139243641,0.00626982827435514,4,0.0929847365822687,0.00165527330952995
2.2,2500,0.103996926061555,0.191039090234259,0.00382078180468518,0.00749222348055046,4,0.0976205089389447,0.00178967599133098
2.3,2500,0.0587632855568924,0.132329338083866,0.00264658676167732,0.00518972830503903,4,0.102159066685349,0.00188512254979835
2.4,2500,0.0975293980202804,0.173430136061923,0.00346860272123846,0.00680163068220674,4,0.106276152965257,0.00191732727544606
2.5,2500,0.188852928134817,0.247638493297643,0.00495276986595286,0.00971195440628211,4,0.109815958944561,0.00192788434996846
2.6,2500,0.0971953736459619,0.144672712113855,0.0028934542422771,0.00567381413597185,4,0.112845938149459,0.00198107743361355
2.7,2500,0.0431307779234869,0.106869977536034,0.00213739955072068,0.00419125611454459,4,0.11562712494755,0.00208602809057065
2.8,2500,0.135712833799141,0.177352242966823,0.00354704485933645,0.00695544894741145,4,0.11851590870458,0.00218695236025739
2.9,2500,0.108331043335749,0.20885465888763,0.00417709317775259,0.00819091934232653,4,0.121839894297886,0.00223368978487956
3,2500,0.0936634738137679,0.193321361043046,0.00386642722086092,0.00758173020360698,4,0.125789311812434,0.00223924590336593
3.1,2500,0.0845411648482237,0.162308256587849,0.00324616513175698,0.00636544976006495,4,0.130349596744688,0.0022749860868104
3.2,2500,0.130473598828073,0.20083732065954,0.00401674641319081,0.00787649317095841,4,0.135288768958153,0.00239651463959034
3.3,2500,0.182534728173443,0.220114511750205,0.0044022902350041,0.00863251134269191,4,0.140208067478757,0.00256583920758123
3.4,2500,0.12759906723995,0.179944676848469,0.00359889353696938,0.00705711973099835,4,0.144654156866122,0.00268323067534357
3.5,2500,0.0625891545004703,0.151292692290091,0.00302585384580182,0.00593343833569116,4,0.148267302734457,0.00269280849235758
3.6,2500,0.223182881462953,0.266872695657815,0.0053374539131563,0.0104662866341829,4,0.150912753539289,0.00264556781385238
3.7,2500,0.16867159542384,0.248042792450439,0.00496085584900878,0.00972781032143556,4,0.152737650845758,0.00265729096070095
3.8,2500,0.130399332033635,0.206061118805194,0.00412122237610389,0.00808136152055394,4,0.154126687813647,0.00277270740254215
3.9,2500,0.172017736530755,0.261245631348266,0.00522491262696532,0.0102456028814762,4,0.155577913693638,0.00290340318288644
4,2500,0.0888930166565461,0.149093397437958,0.00298186794875915,0.00584718578647936,4,0.157550768694006,0.00293633744287041
4.1,2500,0.0856913069953782,0.158064438999396,0.00316128877998793,0.0061990145569639,4,0.160335936462118,0.00285925926579991
4.2,2500,0.212478433901989,0.245556199762596,0.00491112399525193,0.00963029044684038,4,0.163975544661009,0.00279960760559432
4.3,2500,0.108519231685068,0.200032541670526,0.00400065083341052,0.00784493112765746,4,0.168245498801348,0.00292406987597004
4.4,2500,0.23910688826825,0.248135391395849,0.00496270782791698,0.00973144189229481,4,0.172705859344458,0.00321527352525145
4.5,2500,0.225207164259889,0.271323767995294,0.00542647535990588,0.0106408500109221,4,0.176818140615781,0.00344810215278666
4.6,2500,0.151334245706134,0.214967893352525,0.0042993578670505,0.00843066984963807,4,0.180107071362413,0.00342601124133236
4.7,2500,0.142698007659695,0.210742926940533,0.00421485853881066,0.00826497395715006,4,0.182314082911983,0.00321712924407922
4.8,2500,0.259214283339639,0.258728502211963,0.00517457004423927,0.0101468854200631,4,0.183476022007906,0.00330662257876611
4.9,2500,0.180129039458993,0.228206302373365,0.0045641260474673,0.00894985740852691,4,0.183886262979877,0.00421301638810187
5,2500,0.11438731193643,0.200577269554964,0.00401154539109929,0.00786629441535578,4,0.183945490658424,0.00579075697327836
0.1,2500,0.103050095731518,0.166937670856206,0.00333875341712412,0.00654700739960379,5,0.0720305609044311,0.00226758194155117
0.2,2500,0.0794127717199867,0.159858995511404,0.00319717991022807,0.006269393966853,5,0.0628149893673991,0.00143915361231836
0.3,2500,0.0311963941407749,0.0946767535090758,0.00189353507018152,0.00371305890764643,5,0.0553239495343682,0.000997053558688479
0.4,2500,0.0287081912945044,0.085646517094596,0.00171293034189192,0.00335890861716648,5,0.0498158064330037,0.000879053801731955
0.5,2500,0.0243870324120324,0.0797246048501507,0.00159449209700301,0.00312666143721401,5,0.0463828489318215,0.00088229829424884
0.6,2500,0.0618341005348281,0.107476923925051,0.00214953847850102,0.0042150595046343,5,0.0449733043698424,0.000877017183165332
0.7,2500,0.0428082973802943,0.0871348852899783,0.00174269770579957,0.00341727984960626,5,0.0454536521072642,0.000846212889367039
0.8,2500,0.0381045746135529,0.0936707002047087,0.00187341400409417,0.00367360323299669,5,0.0476303969896491,0.000827805855194662
0.9,2500,0.0480010254743536,0.0938578836755933,0.00187715767351186,0.00368094424573923,5,0.0512209879374938,0.000874512523755042
1,2500,0.0686674478995377,0.121092449242291,0.00242184898484582,0.0047490369139528,5,0.0558084318944093,0.000995227766929132
1.1,2500,0.0766779868858352,0.158166064281243,0.00316332128562487,0.00620300012516326,5,0.0608368522336577,0.00113384103804148
1.2,2500,0.0798520397198261,0.14861101547396,0.0029722203094792,0.00582826759820269,5,0.0656945049721939,0.00122599429640346
1.3,2500,0.0463732640888523,0.10074583612489,0.0020149167224978,0.00395107785562113,5,0.0698751242581997,0.00125703910875344
1.4,2500,0.0408463680866777,0.0866010696304708,0.00173202139260942,0.00339634452054066,5,0.0731385613256988,0.00127244616381925
1.5,2500,0.123863354043617,0.196715300779816,0.00393430601559631,0.00771483466383142,5,0.0755744920429599,0.00132485452029905
1.6,2500,0.0455300022612406,0.114635806375674,0.00229271612751348,0.00449581852167782,5,0.0775347147309141,0.00140817384837798
1.7,2500,0.108005815785522,0.183563710342734,0.00367127420685468,0.00719905197999191,5,0.0794823945464521,0.00147434131045557
