"z","N","combm","sd","se","ci","replicate","fit","se.fit"
0.6,500,2.65255439878,0.0540825208798764,0.00241864386163911,0.00475198068129431,5,0.0721823632550307,0.000902519663533186
0.7,500,2.63158106702,0.0759880398488792,0.00339828845158114,0.0066767171998755,5,0.0723380159230808,0.000861708878415525
0.8,500,2.6464427184,0.0836718918609001,0.00374192076013968,0.00735186169619342,5,0.075067028041255,0.000833220989763763
0.9,500,2.6658856178,0.066615087454292,0.0029791172774978,0.00585315927429916,5,0.0798741776686695,0.00087148370582829
1,500,2.62492494768,0.0817805868195891,0.00365733902736849,0.0071856814798772,5,0.0860848191844542,0.000983343059296485
1.1,500,2.62585469892,0.123316434970908,0.00551487862675763,0.0108352441257205,5,0.0928570559070781,0.00111005528547459
1.2,500,2.61771284078,0.107530797694722,0.00480892346640352,0.00944823327345339,5,0.09931566952408,0.00118831035388044
1.3,500,2.61939626308,0.0648024708841766,0.00289805460013939,0.00569389304958094,5,0.104782103787817,0.001206623195476
1.4,500,2.63863294782,0.0732073574956061,0.00327393255626608,0.00643239151740742,5,0.10898340863329,0.00121228266588899
1.5,500,2.56290230664,0.145134237427542,0.00649060041501156,0.0127522734005301,5,0.112113643772505,0.00125740585152179
1.6,500,2.59885422844,0.0746942557001475,0.00334042866548562,0.00656303837757738,5,0.114715317993894,0.00133491215852504
1.7,500,2.57886240524,0.14110808924071,0.0063105455943467,0.0123985144023808,5,0.117457719326861,0.00139690384891931
1.8,500,2.63494265752,0.0915916211323322,0.00409610182042602,0.00804773163506918,5,0.120919806523047,0.00141783085604142
1.9,500,2.64969967746,0.135925101134609,0.00607875531971041,0.0119431092372578,5,0.12544045398069,0.0014218514130741
2,500,2.5866263619,0.167098636924923,0.00747287822223369,0.0146821834784944,5,0.131045847305804,0.00146272593462878
2.1,500,2.55004242318,0.163496824862401,0.00731180028995411,0.0143657089307051,5,0.137447028095306,0.00156623581482357
2.2,500,2.58813171206,0.145166695829678,0.00649205199888389,0.0127551253700276,5,0.144110357287337,0.00169315079420776
2.3,500,2.57647356078,0.147605684725696,0.00660112689824117,0.0129694280306138,5,0.150404552405445,0.00177901318393114
2.4,500,2.57867229774,0.115268306881662,0.00515495539677407,0.0101280923772726,5,0.155798656109048,0.00180005604392963
2.5,500,2.61166121008,0.0838272455852938,0.00374886838990572,0.00736551190859247,5,0.160042633618121,0.00179732349424414
2.6,500,2.61646394182,0.13884694194972,0.00620942401335084,0.0121998378601351,5,0.163250008779573,0.00183334321350268
2.7,500,2.55200253332,0.217574238624526,0.00973021575434401,0.0191172408732111,5,0.165844295767711,0.00191612068039217
2.8,500,2.51769438844,0.215129441940861,0.00962088112282721,0.0189024279092173,5,0.168399651234605,0.00199186257945622
2.9,500,2.61390714422,0.112181076278101,0.00501689024693847,0.0098568317195195,5,0.171448045819762,0.0020143409565413
3,500,2.51844791256,0.243800114957107,0.0109030725993271,0.0214215871879704,5,0.175318872397801,0.00199779290079451
3.1,500,2.51446859614,0.244283431782291,0.0109246871848427,0.021464053999407,5,0.180046025385781,0.00200966300094966
3.2,500,2.5279735517,0.203987493025318,0.00912259801928751,0.0179234364506602,5,0.185354519552034,0.00210096964082596
3.3,500,2.54530648538,0.177696945692967,0.00794684899927126,0.0156134077946093,5,0.190730777376015,0.00223639111851492
3.4,500,2.46560827224,0.226257944758271,0.0101185628985777,0.0198802379213933,5,0.19557097714356,0.00232589098676818
3.5,500,2.5185634656,0.182909645249709,0.00817996801037443,0.0160714235673217,5,0.199375398524721,0.00232007937784937
3.6,500,2.53782996552,0.16797641953201,0.00751213385381194,0.0147593101716179,5,0.201923607504999,0.00226466571858202
3.7,500,2.49923881898,0.228641351849721,0.0102251521040685,0.020089656866183,5,0.203357040371996,0.002262052711702
3.8,500,2.47588686046,0.216616156548517,0.00968736902134443,0.019033058637579,5,0.204131868989229,0.00235069004299516
3.9,500,2.52845263212,0.179638024434038,0.00803365667956555,0.015783961395447,5,0.204866131263373,0.00245121989416005
