"speciesType","median","n","z"
"Invader",0.391584,201,2.5
"Mutant",0.3120845,2694,2.5
"Invader",0.36614,154,2.6
"Mutant",0.311402,1775,2.6
"Invader",0.357464,81,2.7
"Mutant",0.309252,953,2.7
"Invader",0.3865525,180,2.8
"Mutant",0.316937,3154,2.8
"Invader",0.3503065,50,2.9
"Mutant",0.3042995,562,2.9
"Invader",0.400201,217,3
"Mutant",0.3168535,4554,3
"Invader",0.346759,73,3.1
"Mutant",0.313828,1481,3.1
"Invader",0.395089,126,3.2
"Mutant",0.316008,3133,3.2
"Invader",0.3904345,118,3.3
"Mutant",0.313616,2347,3.3
"Invader",0.371955,105,3.4
"Mutant",0.311461,1756,3.4
"Invader",0.36817,106,3.5
"Mutant",0.313493,2265,3.5
"Invader",0.379792,83,3.6
"Mutant",0.317272,1837,3.6
"Invader",0.417492,174,3.7
"Mutant",0.322152,5444,3.7
"Invader",0.362681,59,3.8
"Mutant",0.315235,1843,3.8
"Invader",0.394817,129,3.9
"Mutant",0.316732,3350,3.9
"Invader",0.4398545,162,4
"Mutant",0.324447,6585,4
"Invader",0.393796,81,4.1
"Mutant",0.316009,2317,4.1
"Invader",0.402173,64,4.2
"Mutant",0.3094635,1838,4.2
"Invader",0.4202265,90,4.3
"Mutant",0.318592,3755,4.3
"Invader",0.384343,72,4.4
"Mutant",0.3122995,2456,4.4
"Invader",0.409469,89,4.5
"Mutant",0.3185395,3360,4.5
"Invader",0.405904,25,4.6
"Mutant",0.315472,814,4.6
"Invader",0.3792755,50,4.7
"Mutant",0.324192,3005,4.7
"Invader",0.398836,75,4.8
"Mutant",0.31533,3231,4.8
"Invader",0.379783,29,4.9
"Mutant",0.317693,1291,4.9
"Invader",0.409734,43,5
"Mutant",0.325532,2595,5
"Invader",0.314813,773,0.1
"Mutant",0.325479,755,0.1
"Invader",0.3282055,1350,0.2
"Mutant",0.312233,1393,0.2
"Invader",0.318652,482,0.3
"Mutant",0.304319,390,0.3
"Invader",0.318438,284,0.4
"Mutant",0.305344,298,0.4
"Invader",0.315782,331,0.5
"Mutant",0.3028855,390,0.5
"Invader",0.314988,277,0.6
"Mutant",0.3046725,384,0.6
"Invader",0.327257,445,0.7
"Mutant",0.304468,682,0.7
"Invader",0.3244205,280,0.8
"Mutant",0.3039355,562,0.8
"Invader",0.330312,291,0.9
"Mutant",0.3048165,726,0.9
"Invader",0.3304995,212,1
"Mutant",0.303203,544,1
"Invader",0.352407,371,1.1
"Mutant",0.3098355,1448,1.1
"Invader",0.338316,257,1.2
"Mutant",0.306576,938,1.2
"Invader",0.334122,150,1.3
"Mutant",0.3058805,516,1.3
"Invader",0.368003,467,1.4
"Mutant",0.3140215,2786,1.4
"Invader",0.367285,145,1.5
"Mutant",0.3123715,942,1.5
"Invader",0.334208,119,1.6
"Mutant",0.311596,888,1.6
"Invader",0.357955,207,1.7
"Mutant",0.309201,1268,1.7
"Invader",0.36149,153,1.8
"Mutant",0.307372,1013,1.8
"Invader",0.347564,98,1.9
"Mutant",0.306442,781,1.9
"Invader",0.3509,175,2
"Mutant",0.310683,1379,2
"Invader",0.380177,259,2.1
"Mutant",0.310729,2372,2.1
"Invader",0.373368,129,2.2
"Mutant",0.309668,1116,2.2
"Invader",0.3824685,134,2.3
"Mutant",0.318426,2172,2.3
"Invader",0.359852,107,2.4
"Mutant",0.309903,938,2.4
"Invader",0.334876,95,2.5
"Mutant",0.305834,808,2.5
"Invader",0.324772,43,2.6
"Mutant",0.306205,389,2.6
"Invader",0.3592315,72,2.7
"Mutant",0.3121385,952,2.7
"Invader",0.35824,145,2.8
"Mutant",0.312059,2268,2.8
"Invader",0.3903695,160,2.9
"Mutant",0.315339,2615,2.9
"Invader",0.363654,89,3
"Mutant",0.308883,1171,3
"Invader",0.3431165,38,3.1
"Mutant",0.309456,626,3.1
"Invader",0.367912,118,3.2
"Mutant",0.313083,2351,3.2
"Invader",0.384885,121,3.3
"Mutant",0.315276,2929,3.3
"Invader",0.403353,93,3.4
"Mutant",0.312733,1875,3.4
"Invader",0.378529,88,3.5
"Mutant",0.312888,2000,3.5
"Invader",0.411057,123,3.6
"Mutant",0.316036,3233,3.6
"Invader",0.400814,117,3.7
"Mutant",0.315864,3413,3.7
"Invader",0.380947,107,3.8
"Mutant",0.31281,2460,3.8
"Invader",0.390804,56,3.9
"Mutant",0.313608,1967,3.9
"Invader",0.3517985,68,4
"Mutant",0.31553,1847,4
"Invader",0.3935665,122,4.1
"Mutant",0.3157615,3956,4.1
"Invader",0.4170545,114,4.2
"Mutant",0.318101,3767,4.2
"Invader",0.3836375,90,4.3
"Mutant",0.3167995,3642,4.3
"Invader",0.438657,123,4.4
"Mutant",0.322358,5605,4.4
"Invader",0.378494,53,4.5
"Mutant",0.3154175,2002,4.5
"Invader",0.3916025,86,4.6
"Mutant",0.317508,4023,4.6
"Invader",0.3953735,80,4.7
"Mutant",0.3171385,3684,4.7
"Invader",0.448003,105,4.8
"Mutant",0.321949,5009,4.8
"Invader",0.417161,59,4.9
"Mutant",0.3176285,3526,4.9
"Invader",0.397022,53,5
"Mutant",0.3154685,2490,5
"Invader",0.308696,1306,0.1
"Mutant",0.3048405,320,0.1
"Invader",0.3120915,678,0.2
"Mutant",0.307851,467,0.2
"Invader",0.323392,733,0.3
"Mutant",0.304296,497,0.3
"Invader",0.327044,499,0.4
"Mutant",0.3056975,502,0.4
"Invader",0.324854,171,0.5
"Mutant",0.308319,289,0.5
"Invader",0.334789,415,0.6
"Mutant",0.3069875,742,0.6
"Invader",0.3273065,362,0.7
"Mutant",0.306415,668,0.7
"Invader",0.332635,329,0.8
"Mutant",0.306137,619,0.8
"Invader",0.3328735,294,0.9
"Mutant",0.306123,724,0.9
"Invader",0.330869,187,1
"Mutant",0.304469,509,1
"Invader",0.331102,179,1.1
"Mutant",0.303324,507,1.1
"Invader",0.327511,151,1.2
"Mutant",0.304311,515,1.2
"Invader",0.3481055,254,1.3
"Mutant",0.30691,712,1.3
"Invader",0.3528945,166,1.4
"Mutant",0.307279,735,1.4
"Invader",0.365883,297,1.5
"Mutant",0.309657,1569,1.5
"Invader",0.369901,321,1.6
"Mutant",0.3095345,1956,1.6
"Invader",0.341064,79,1.7
"Mutant",0.306236,679,1.7
"Invader",0.3438135,104,1.8
"Mutant",0.310786,1111,1.8
"Invader",0.37798,283,1.9
"Mutant",0.312818,1968,1.9
"Invader",0.34293,97,2
"Mutant",0.305621,695,2
"Invader",0.374906,59,2.1
"Mutant",0.311445,598,2.1
"Invader",0.398341,144,2.2
"Mutant",0.3199305,1714,2.2
"Invader",0.3885165,198,2.3
"Mutant",0.311683,2114,2.3
"Invader",0.37733,103,2.4
"Mutant",0.3118275,1204,2.4
"Invader",0.3839225,82,2.5
"Mutant",0.311925,1233,2.5
"Invader",0.377096,127,2.6
"Mutant",0.308554,1582,2.6
"Invader",0.393481,167,2.7
"Mutant",0.315275,2537,2.7
"Invader",0.3720125,104,2.8
"Mutant",0.307832,1299,2.8
"Invader",0.366886,93,2.9
"Mutant",0.310536,1353,2.9
"Invader",0.412813,125,3
"Mutant",0.314823,2718,3
"Invader",0.402761,137,3.1
"Mutant",0.3150385,2546,3.1
"Invader",0.3955305,108,3.2
"Mutant",0.315464,2207,3.2
"Invader",0.401044,127,3.3
"Mutant",0.3152955,3096,3.3
"Invader",0.3742515,82,3.4
"Mutant",0.3145155,2318,3.4
"Invader",0.401117,143,3.5
"Mutant",0.317286,4118,3.5
"Invader",0.384256,85,3.6
"Mutant",0.31271,1755,3.6
"Invader",0.4123195,106,3.7
"Mutant",0.3171105,3350,3.7
"Invader",0.4207425,82,3.8
"Mutant",0.313754,2451,3.8
"Invader",0.392527,69,3.9
"Mutant",0.311558,1884,3.9
"Invader",0.36735,43,4
"Mutant",0.309181,1297,4
"Invader",0.388522,70,4.1
"Mutant",0.3153475,2668,4.1
"Invader",0.4094165,76,4.2
"Mutant",0.31436,3091,4.2
"Invader",0.428332,87,4.3
"Mutant",0.311824,2755,4.3
"Invader",0.44902,93,4.4
"Mutant",0.325097,4724,4.4
"Invader",0.399573,55,4.5
"Mutant",0.317094,2499,4.5
"Invader",0.361015,31,4.6
"Mutant",0.308666,1003,4.6
"Invader",0.410015,105,4.7
"Mutant",0.320408,5767,4.7
"Invader",0.420894,99,4.8
"Mutant",0.318768,3466,4.8
"Invader",0.4074255,70,4.9
"Mutant",0.31834,3945,4.9
"Invader",0.411082,77,5
"Mutant",0.318416,4366,5
"Invader",0.306745,962,0.1
"Mutant",0.3041255,342,0.1
"Invader",0.315923,843,0.2
"Mutant",0.3151465,952,0.2
"Invader",0.320293,602,0.3
"Mutant",0.3049675,550,0.3
"Invader",0.323893,863,0.4
"Mutant",0.3039075,582,0.4
"Invader",0.3369145,384,0.5
"Mutant",0.308978,615,0.5
"Invader",0.31874,242,0.6
"Mutant",0.304605,323,0.6
"Invader",0.334168,546,0.7
"Mutant",0.305235,1042,0.7
"Invader",0.3319135,308,0.8
"Mutant",0.304145,607,0.8
"Invader",0.332246,275,0.9
"Mutant",0.304577,510,0.9
"Invader",0.340914,389,1
"Mutant",0.306087,939,1
"Invader",0.339479,299,1.1
"Mutant",0.3074855,1062,1.1
"Invader",0.337857,183,1.2
"Mutant",0.304936,600,1.2
"Invader",0.322758,123,1.3
"Mutant",0.304773,514,1.3
"Invader",0.321597,101,1.4
"Mutant",0.304022,396,1.4
"Invader",0.354004,133,1.5
"Mutant",0.307401,854,1.5
"Invader",0.368733,265,1.6
"Mutant",0.309199,1426,1.6
"Invader",0.360645,284,1.7
"Mutant",0.3079875,1748,1.7
"Invader",0.3655935,236,1.8
"Mutant",0.311164,1603,1.8
"Invader",0.3651445,166,1.9
"Mutant",0.3154935,1558,1.9
"Invader",0.3374945,48,2
"Mutant",0.314127,718,2
"Invader",0.3575705,176,2.1
"Mutant",0.3089905,1310,2.1
"Invader",0.359368,61,2.2
"Mutant",0.307656,585,2.2
"Invader",0.3476525,94,2.3
"Mutant",0.3097525,912,2.3
"Invader",0.4008715,136,2.4
"Mutant",0.313497,1996,2.4
"Invader",0.36579,124,2.5
"Mutant",0.3123515,1408,2.5
"Invader",0.398239,269,2.6
"Mutant",0.316398,3812,2.6
"Invader",0.4085355,208,2.7
"Mutant",0.316569,3152,2.7
"Invader",0.382753,161,2.8
"Mutant",0.314615,2754,2.8
"Invader",0.413282,150,2.9
"Mutant",0.3173525,3688,2.9
"Invader",0.371199,95,3
"Mutant",0.307835,1376,3
"Invader",0.385834,149,3.1
"Mutant",0.314763,2847,3.1
"Invader",0.399482,117,3.2
"Mutant",0.318494,2891,3.2
"Invader",0.408923,82,3.3
"Mutant",0.31785,1959,3.3
"Invader",0.3791445,48,3.4
"Mutant",0.308921,1109,3.4
"Invader",0.420246,153,3.5
"Mutant",0.320311,4313,3.5
"Invader",0.380749,56,3.6
"Mutant",0.314206,1937,3.6
"Invader",0.348505,59,3.7
"Mutant",0.307061,1317,3.7
"Invader",0.372813,38,3.8
"Mutant",0.311267,1133,3.8
"Invader",0.41576,73,3.9
"Mutant",0.317237,1775,3.9
"Invader",0.3835875,76,4
"Mutant",0.312686,2191,4
"Invader",0.404805,69,4.1
"Mutant",0.3112995,2512,4.1
"Invader",0.44437,91,4.2
"Mutant",0.31491,3125,4.2
"Invader",0.4069855,74,4.3
"Mutant",0.31314,2753,4.3
"Invader",0.397055,54,4.4
"Mutant",0.312014,1749,4.4
"Invader",0.4044485,48,4.5
"Mutant",0.311412,1832,4.5
"Invader",0.437144,57,4.6
"Mutant",0.308812,1619,4.6
"Invader",0.394184,52,4.7
"Mutant",0.31458,2771,4.7
"Invader",0.408728,70,4.8
"Mutant",0.318716,3545,4.8
"Invader",0.423768,99,4.9
"Mutant",0.3215125,6058,4.9
"Invader",0.448103,72,5
"Mutant",0.319992,5163,5
"Invader",0.316339,782,0.1
"Mutant",0.309279,399,0.1
"Invader",0.320013,1263,0.2
"Mutant",0.306381,902,0.2
"Invader",0.3144855,410,0.3
"Mutant",0.310793,368,0.3
"Invader",0.32267,380,0.4
"Mutant",0.307933,455,0.4
"Invader",0.319226,281,0.5
"Mutant",0.30238,243,0.5
"Invader",0.318383,288,0.6
"Mutant",0.3035265,350,0.6
"Invader",0.365401,346,0.7
"Mutant",0.3131915,1008,0.7
"Invader",0.327597,270,0.8
"Mutant",0.3046195,520,0.8
"Invader",0.348066,507,0.9
"Mutant",0.307601,1326,0.9
"Invader",0.332814,193,1
"Mutant",0.3047765,542,1
"Invader",0.342064,285,1.1
"Mutant",0.3083325,1024,1.1
"Invader",0.353794,235,1.2
"Mutant",0.3081655,862,1.2
"Invader",0.3531595,256,1.3
"Mutant",0.307412,838,1.3
"Invader",0.347992,251,1.4
"Mutant",0.307741,1140,1.4
"Invader",0.359655,164,1.5
"Mutant",0.309611,1059,1.5
"Invader",0.32174,48,1.6
"Mutant",0.305518,341,1.6
"Invader",0.357467,167,1.7
"Mutant",0.308581,1062,1.7
"Invader",0.36673,233,1.8
"Mutant",0.310043,1756,1.8
"Invader",0.362834,203,1.9
"Mutant",0.315672,1863,1.9
"Invader",0.337698,55,2
"Mutant",0.3038975,324,2
"Invader",0.3600955,118,2.1
"Mutant",0.308951,945,2.1
"Invader",0.350266,77,2.2
"Mutant",0.307223,680,2.2
"Invader",0.3895175,290,2.3
"Mutant",0.317131,3242,2.3
"Invader",0.393482,237,2.4
"Mutant",0.318153,3891,2.4
"Invader",0.402322,242,2.5
"Mutant",0.315554,3187,2.5
"Invader",0.388818,189,2.6
"Mutant",0.3174305,3022,2.6
"Invader",0.3531595,56,2.7
"Mutant",0.312137,915,2.7
"Invader",0.399803,196,2.8
"Mutant",0.314368,2825,2.8
"Invader",0.366132,65,2.9
"Mutant",0.307261,961,2.9
"Invader",0.381632,129,3
"Mutant",0.314566,2399,3
"Invader",0.389518,101,3.1
"Mutant",0.3191655,2098,3.1
"Invader",0.3976275,140,3.2
"Mutant",0.314544,2509,3.2
"Invader",0.392955,160,3.3
"Mutant",0.312694,2699,3.3
"Invader",0.395188,121,3.4
"Mutant",0.318823,3849,3.4
"Invader",0.3473715,42,3.5
"Mutant",0.3086915,640,3.5
"Invader",0.382761,89,3.6
"Mutant",0.3146235,2588,3.6
"Invader",0.4042455,136,3.7
"Mutant",0.3223255,4470,3.7
"Invader",0.3470425,24,3.8
"Mutant",0.304085,406,3.8
"Invader",0.406224,109,3.9
"Mutant",0.3169005,3226,3.9
"Invader",0.4079235,96,4
"Mutant",0.320075,3805,4
"Invader",0.404079,113,4.1
"Mutant",0.322183,3968,4.1
"Invader",0.3662285,78,4.2
"Mutant",0.311357,2085,4.2
"Invader",0.400802,67,4.3
"Mutant",0.312895,2590,4.3
"Invader",0.3924745,82,4.4
"Mutant",0.3154035,2328,4.4
"Invader",0.392758,49,4.5
"Mutant",0.317914,1817,4.5
"Invader",0.405072,59,4.6
"Mutant",0.317337,2312,4.6
"Invader",0.4246655,52,4.7
"Mutant",0.319611,2517,4.7
"Invader",0.3965405,14,4.8
"Mutant",0.323155,837,4.8
"Invader",0.4183145,90,4.9
"Mutant",0.318554,4717,4.9
"Invader",0.4155955,64,5
"Mutant",0.314965,2580,5
"Invader",0.3136465,1044,0.1
"Mutant",0.322157,893,0.1
"Invader",0.31346,657,0.2
"Mutant",0.3039075,386,0.2
"Invader",0.31457,474,0.3
"Mutant",0.303324,359,0.3
"Invader",0.3198685,428,0.4
"Mutant",0.3046325,392,0.4
"Invader",0.329066,193,0.5
"Mutant",0.304421,302,0.5
"Invader",0.32881,377,0.6
"Mutant",0.3074105,688,0.6
"Invader",0.32236,289,0.7
"Mutant",0.3049145,456,0.7
"Invader",0.332614,292,0.8
"Mutant",0.305179,648,0.8
"Invader",0.3288345,230,0.9
"Mutant",0.303834,395,0.9
"Invader",0.3353745,324,1
"Mutant",0.30661,964,1
"Invader",0.331096,129,1.1
"Mutant",0.303997,374,1.1
"Invader",0.380319,401,1.2
"Mutant",0.314085,2266,1.2
"Invader",0.348095,147,1.3
"Mutant",0.315081,960,1.3
"Invader",0.369689,398,1.4
"Mutant",0.314216,2637,1.4
"Invader",0.342806,143,1.5
"Mutant",0.3075,565,1.5
"Invader",0.327829,88,1.6
"Mutant",0.305815,421,1.6
"Invader",0.360558,200,1.7
"Mutant",0.3075805,1366,1.7
"Invader",0.3688385,122,1.8
"Mutant",0.314605,985,1.8
"Invader",0.396096,403,1.9
"Mutant",0.3184745,3998,1.9
"Invader",0.3646425,78,2
"Mutant",0.3112315,882,2
"Invader",0.404992,260,2.1
"Mutant",0.313802,2674,2.1
"Invader",0.36828,141,2.2
"Mutant",0.312031,1187,2.2
"Invader",0.3651735,100,2.3
"Mutant",0.306116,754,2.3
"Invader",0.375962,190,2.4
"Mutant",0.316032,2849,2.4
"Invader",0.3676885,80,2.5
"Mutant",0.308873,1048,2.5
"Invader",0.384271,157,2.6
"Mutant",0.311037,1825,2.6
"Invader",0.381673,100,2.7
"Mutant",0.313925,1674,2.7
"Invader",0.354957,48,2.8
"Mutant",0.308103,563,2.8
"Invader",0.414962,192,2.9
"Mutant",0.316906,4313,2.9
"Invader",0.4130135,184,3
"Mutant",0.314267,2899,3
"Invader",0.3906975,100,3.1
"Mutant",0.314618,2207,3.1
"Invader",0.4013895,70,3.2
"Mutant",0.316708,1549,3.2
"Invader",0.392963,100,3.3
"Mutant",0.313366,2368,3.3
"Invader",0.4065515,90,3.4
"Mutant",0.3191955,2576,3.4
"Invader",0.398886,121,3.5
"Mutant",0.31583,3388,3.5
"Invader",0.406362,131,3.6
"Mutant",0.315067,3756,3.6
"Invader",0.3815285,42,3.7
"Mutant",0.315974,1445,3.7
"Invader",0.440816,163,3.8
"Mutant",0.320724,6501,3.8
"Invader",0.407516,81,3.9
"Mutant",0.3152235,2420,3.9
"Invader",0.380804,53,4
"Mutant",0.31307,1350,4
"Invader",0.4135275,96,4.1
"Mutant",0.3161195,3814,4.1
"Invader",0.4186005,82,4.2
"Mutant",0.3204465,3594,4.2
"Invader",0.387798,51,4.3
"Mutant",0.310874,2072,4.3
"Invader",0.362637,43,4.4
"Mutant",0.312382,1375,4.4
"Invader",0.442972,71,4.5
"Mutant",0.3235195,4324,4.5
"Invader",0.373909,29,4.6
"Mutant",0.311611,1413,4.6
"Invader",0.381367,32,4.7
"Mutant",0.3077765,1298,4.7
"Invader",0.4268345,104,4.8
"Mutant",0.318061,4394,4.8
"Invader",0.439189,81,4.9
"Mutant",0.3201125,5066,4.9
"Invader",0.385254,45,5
"Mutant",0.313059,1762,5
"Invader",0.3119825,914,0.1
"Mutant",0.310616,441,0.1
"Invader",0.3146075,588,0.2
"Mutant",0.319809,569,0.2
"Invader",0.32325,393,0.3
"Mutant",0.310499,372,0.3
"Invader",0.321341,377,0.4
"Mutant",0.306507,397,0.4
"Invader",0.3294305,618,0.5
"Mutant",0.3064675,814,0.5
"Invader",0.317966,339,0.6
"Mutant",0.30443,526,0.6
"Invader",0.3371825,498,0.7
"Mutant",0.30824,945,0.7
"Invader",0.326339,251,0.8
"Mutant",0.3031165,404,0.8
"Invader",0.332926,343,0.9
"Mutant",0.306004,876,0.9
"Invader",0.3463705,426,1
"Mutant",0.311432,1421,1
"Invader",0.3341555,170,1.1
"Mutant",0.304618,469,1.1
"Invader",0.340675,272,1.2
"Mutant",0.305748,752,1.2
"Invader",0.345446,219,1.3
"Mutant",0.306867,1017,1.3
"Invader",0.335751,191,1.4
"Mutant",0.306241,733,1.4
"Invader",0.332418,89,1.5
"Mutant",0.305324,393,1.5
"Invader",0.344161,165,1.6
"Mutant",0.3063425,878,1.6
"Invader",0.356468,155,1.7
"Mutant",0.311869,817,1.7
"Invader",0.346478,152,1.8
"Mutant",0.308285,967,1.8
"Invader",0.372857,361,1.9
"Mutant",0.3122695,2684,1.9
"Invader",0.372727,238,2
"Mutant",0.3101435,1816,2
"Invader",0.364098,174,2.1
"Mutant",0.313722,1565,2.1
"Invader",0.376345,185,2.2
"Mutant",0.316173,2445,2.2
"Invader",0.393537,212,2.3
"Mutant",0.316976,2666,2.3
"Invader",0.359297,105,2.4
"Mutant",0.3076825,834,2.4
"Invader",0.358963,133,2.5
"Mutant",0.310735,1614,2.5
"Invader",0.3609415,112,2.6
"Mutant",0.312049,1401,2.6
"Invader",0.3785335,112,2.7
"Mutant",0.317244,1867,2.7
"Invader",0.337848,30,2.8
"Mutant",0.306743,389,2.8
"Invader",0.394795,229,2.9
"Mutant",0.315617,3819,2.9
"Invader",0.380355,151,3
"Mutant",0.313301,2639,3
"Invader",0.407189,143,3.1
"Mutant",0.3140385,3022,3.1
"Invader",0.395594,154,3.2
"Mutant",0.314817,3020,3.2
"Invader",0.3573115,68,3.3
"Mutant",0.314661,1376,3.3
"Invader",0.384707,127,3.4
"Mutant",0.319154,2955,3.4
"Invader",0.390367,138,3.5
"Mutant",0.3184975,3746,3.5
"Invader",0.3851185,92,3.6
"Mutant",0.312375,2563,3.6
"Invader",0.373129,97,3.7
"Mutant",0.312817,1627,3.7
"Invader",0.438618,95,3.8
"Mutant",0.316653,3113,3.8
"Invader",0.410921,149,3.9
"Mutant",0.3199585,4676,3.9
"Invader",0.439087,101,4
"Mutant",0.3215035,4026,4
"Invader",0.35435,49,4.1
"Mutant",0.3099485,1210,4.1
"Invader",0.385402,75,4.2
"Mutant",0.311052,2133,4.2
"Invader",0.418105,100,4.3
"Mutant",0.315966,3957,4.3
"Invader",0.410195,103,4.4
"Mutant",0.321142,4548,4.4
"Invader",0.372639,67,4.5
"Mutant",0.318168,1985,4.5
"Invader",0.4161485,66,4.6
"Mutant",0.314869,2910,4.6
"Invader",0.407578,83,4.7
"Mutant",0.320038,4166,4.7
"Invader",0.4320655,52,4.8
"Mutant",0.3204445,3262,4.8
"Invader",0.4225365,110,4.9
"Mutant",0.322951,6275,4.9
"Invader",0.444007,91,5
"Mutant",0.322917,5020,5
"Invader",0.3359135,2878,0.1
"Mutant",0.322626,3387,0.1
"Invader",0.3163385,542,0.2
"Mutant",0.307241,389,0.2
"Invader",0.31757,415,0.3
"Mutant",0.311897,595,0.3
"Invader",0.321459,713,0.4
"Mutant",0.304496,693,0.4
"Invader",0.323423,544,0.5
"Mutant",0.304874,701,0.5
"Invader",0.325891,131,0.6
"Mutant",0.304239,194,0.6
"Invader",0.337858,659,0.7
"Mutant",0.307711,1289,0.7
"Invader",0.32796,231,0.8
"Mutant",0.305193,482,0.8
"Invader",0.3213485,190,0.9
"Mutant",0.302615,347,0.9
"Invader",0.340588,204,1
"Mutant",0.31126,704,1
"Invader",0.337224,230,1.1
"Mutant",0.3097,908,1.1
"Invader",0.318926,79,1.2
"Mutant",0.306289,309,1.2
"Invader",0.345271,213,1.3
"Mutant",0.307929,848,1.3
"Invader",0.327598,103,1.4
"Mutant",0.305422,471,1.4
"Invader",0.3434165,142,1.5
"Mutant",0.308817,739,1.5
"Invader",0.3501395,170,1.6
"Mutant",0.305934,843,1.6
"Invader",0.336705,97,1.7
"Mutant",0.3060745,586,1.7
"Invader",0.3776105,332,1.8
"Mutant",0.313902,2529,1.8
"Invader",0.3855085,202,1.9
"Mutant",0.315279,1787,1.9
"Invader",0.36373,140,2
"Mutant",0.311151,1148,2
"Invader",0.361269,157,2.1
"Mutant",0.309431,1444,2.1
"Invader",0.338744,67,2.2
"Mutant",0.305269,430,2.2
"Invader",0.373955,181,2.3
"Mutant",0.3101675,1700,2.3
"Invader",0.370166,93,2.4
"Mutant",0.3089735,1132,2.4
"Invader",0.363493,115,2.5
"Mutant",0.309142,1363,2.5
"Invader",0.371771,151,2.6
"Mutant",0.3138865,2176,2.6
"Invader",0.357832,111,2.7
"Mutant",0.3076075,1296,2.7
"Invader",0.392271,172,2.8
"Mutant",0.3160035,3028,2.8
"Invader",0.374469,110,2.9
"Mutant",0.314541,2202,2.9
"Invader",0.401573,138,3
"Mutant",0.3155555,3114,3
"Invader",0.344833,49,3.1
"Mutant",0.3080465,798,3.1
"Invader",0.355871,84,3.2
"Mutant",0.309731,1759,3.2
"Invader",0.3451175,42,3.3
"Mutant",0.3060715,768,3.3
"Invader",0.376038,25,3.4
"Mutant",0.3071205,716,3.4
"Invader",0.368955,79,3.5
"Mutant",0.308978,1291,3.5
"Invader",0.3885565,132,3.6
"Mutant",0.319409,3687,3.6
"Invader",0.386606,103,3.7
"Mutant",0.3138745,2954,3.7
"Invader",0.3611955,28,3.8
"Mutant",0.315826,1481,3.8
"Invader",0.37122,37,3.9
"Mutant",0.316263,1402,3.9
"Invader",0.420498,115,4
"Mutant",0.3158875,3880,4
"Invader",0.433958,51,4.1
"Mutant",0.3196595,2984,4.1
"Invader",0.379848,93,4.2
"Mutant",0.3127865,3408,4.2
"Invader",0.3640705,48,4.3
"Mutant",0.309398,1432,4.3
"Invader",0.343538,18,4.4
"Mutant",0.3041695,340,4.4
"Invader",0.380802,71,4.5
"Mutant",0.314896,2835,4.5
"Invader",0.439818,73,4.6
"Mutant",0.317913,3879,4.6
"Invader",0.368157,47,4.7
"Mutant",0.31485,2343,4.7
"Invader",0.411056,89,4.8
"Mutant",0.318062,5208,4.8
"Invader",0.371607,51,4.9
"Mutant",0.311769,1851,4.9
"Invader",0.4041805,64,5
"Mutant",0.318923,3887,5
"Invader",0.3123925,884,0.1
"Mutant",0.309721,451,0.1
"Invader",0.3196465,984,0.2
"Mutant",0.309118,685,0.2
"Invader",0.318612,583,0.3
"Mutant",0.305529,522,0.3
"Invader",0.320473,431,0.4
"Mutant",0.311654,550,0.4
"Invader",0.325546,431,0.5
"Mutant",0.304147,465,0.5
"Invader",0.325276,406,0.6
"Mutant",0.304453,556,0.6
"Invader",0.329644,330,0.7
"Mutant",0.307265,748,0.7
"Invader",0.331971,313,0.8
"Mutant",0.303919,587,0.8
"Invader",0.338414,321,0.9
"Mutant",0.305124,863,0.9
"Invader",0.3395165,168,1
"Mutant",0.306265,560,1
"Invader",0.3431255,352,1.1
"Mutant",0.308065,1193,1.1
"Invader",0.348443,377,1.2
"Mutant",0.307107,1300,1.2
"Invader",0.330678,131,1.3
"Mutant",0.305131,539,1.3
"Invader",0.357614,397,1.4
"Mutant",0.308961,1865,1.4
"Invader",0.353705,212,1.5
"Mutant",0.3098295,1036,1.5
"Invader",0.35605,247,1.6
"Mutant",0.308401,1181,1.6
"Invader",0.365616,347,1.7
"Mutant",0.310405,1949,1.7
"Invader",0.3978225,128,1.8
"Mutant",0.326386,1293,1.8
"Invader",0.359423,230,1.9
"Mutant",0.3133055,1848,1.9
"Invader",0.3438865,84,2
"Mutant",0.3113025,740,2
"Invader",0.375664,241,2.1
"Mutant",0.31299,2582,2.1
"Invader",0.3285335,68,2.2
"Mutant",0.304172,366,2.2
"Invader",0.329634,85,2.3
"Mutant",0.31371,769,2.3
"Invader",0.3778105,140,2.4
"Mutant",0.311782,1865,2.4
"Invader",0.3832,176,2.5
"Mutant",0.31424,2219,2.5
"Invader",0.382782,156,2.6
"Mutant",0.3144055,1958,2.6
"Invader",0.394187,159,2.7
"Mutant",0.315501,2605,2.7
"Invader",0.386649,114,2.8
"Mutant",0.310826,1809,2.8
"Invader",0.399825,177,2.9
"Mutant",0.316879,3209,2.9
"Invader",0.361529,62,3
"Mutant",0.308306,837,3
"Invader",0.4123505,138,3.1
"Mutant",0.315316,2995,3.1
"Invader",0.3557765,68,3.2
"Mutant",0.30636,1069,3.2
"Invader",0.386308,176,3.3
"Mutant",0.317183,4525,3.3
"Invader",0.378589,115,3.4
"Mutant",0.316742,2866,3.4
"Invader",0.347395,56,3.5
"Mutant",0.307548,1063,3.5
"Invader",0.426599,185,3.6
"Mutant",0.325209,7078,3.6
"Invader",0.375554,104,3.7
"Mutant",0.312726,2017,3.7
"Invader",0.4101455,104,3.8
