"speciesType","median","n","z"
"Mutant",0.303524,419,0.8
"Invader",0.338043,319,0.9
"Mutant",0.308348,742,0.9
"Invader",0.3480855,242,1
"Mutant",0.3150465,918,1
"Invader",0.3396325,294,1.1
"Mutant",0.305068,920,1.1
"Invader",0.364626,263,1.2
"Mutant",0.3121935,1138,1.2
"Invader",0.354435,203,1.3
"Mutant",0.306958,777,1.3
"Invader",0.3331065,142,1.4
"Mutant",0.3056995,588,1.4
"Invader",0.368247,342,1.5
"Mutant",0.309909,1773,1.5
"Invader",0.361821,229,1.6
"Mutant",0.309107,1337,1.6
"Invader",0.349511,175,1.7
"Mutant",0.304384,715,1.7
"Invader",0.34773,183,1.8
"Mutant",0.308086,1034,1.8
"Invader",0.372762,165,1.9
"Mutant",0.315357,1595,1.9
"Invader",0.352406,129,2
"Mutant",0.3110445,1184,2
"Invader",0.334519,85,2.1
"Mutant",0.312051,860,2.1
"Invader",0.36267,245,2.2
"Mutant",0.310405,2205,2.2
"Invader",0.3749395,202,2.3
"Mutant",0.3144255,2740,2.3
"Invader",0.3427245,126,2.4
"Mutant",0.309891,1115,2.4
"Invader",0.38612,158,2.5
"Mutant",0.315663,2131,2.5
"Invader",0.3604865,110,2.6
"Mutant",0.308455,1348,2.6
"Invader",0.388516,189,2.7
"Mutant",0.31629,3282,2.7
"Invader",0.402049,183,2.8
"Mutant",0.3157635,3342,2.8
"Invader",0.378944,154,2.9
"Mutant",0.3157305,3524,2.9
"Invader",0.365864,100,3
"Mutant",0.3143375,2100,3
"Invader",0.369221,91,3.1
"Mutant",0.3158955,2180,3.1
"Invader",0.361637,112,3.2
"Mutant",0.31185,1935,3.2
"Invader",0.391053,134,3.3
"Mutant",0.3175525,3384,3.3
"Invader",0.3874495,116,3.4
"Mutant",0.312518,2285,3.4
"Invader",0.389528,112,3.5
"Mutant",0.3124525,2382,3.5
"Invader",0.409041,124,3.6
"Mutant",0.313382,3266,3.6
"Invader",0.433985,169,3.7
"Mutant",0.318999,5517,3.7
"Invader",0.418048,132,3.8
"Mutant",0.317653,4021,3.8
"Invader",0.383716,59,3.9
"Mutant",0.317993,1926,3.9
"Invader",0.4279295,56,4
"Mutant",0.318963,1841,4
"Invader",0.370921,57,4.1
"Mutant",0.313274,1921,4.1
"Invader",0.417395,79,4.2
"Mutant",0.31546,2889,4.2
"Invader",0.385757,38,4.3
"Mutant",0.3160645,1280,4.3
"Invader",0.419092,50,4.4
"Mutant",0.313739,1733,4.4
"Invader",0.41626,91,4.5
"Mutant",0.320979,4037,4.5
"Invader",0.397833,57,4.6
"Mutant",0.3175855,2278,4.6
"Invader",0.431999,103,4.7
"Mutant",0.322187,5243,4.7
"Invader",0.4368575,92,4.8
"Mutant",0.320074,5063,4.8
"Invader",0.4237765,98,4.9
"Mutant",0.3171645,5508,4.9
"Invader",0.376292,39,5
"Mutant",0.3092945,1202,5
"Invader",0.317692,907,0.1
"Mutant",0.328475,743,0.1
"Invader",0.346366,845,0.2
"Mutant",0.315716,1044,0.2
"Invader",0.313228,452,0.3
"Mutant",0.31064,350,0.3
"Invader",0.3164055,278,0.4
"Mutant",0.3038785,250,0.4
"Invader",0.342172,299,0.5
"Mutant",0.308766,475,0.5
"Invader",0.330729,320,0.6
"Mutant",0.3091405,676,0.6
