"typeEXT","N","lifespan","sd","se","ci","z"
"Generalists",283,38669.964664311,96876.5558502314,5758.71350026223,11335.5201854919,2.1
"Specialists",1155,165006.32034632,434341.075278469,12780.266501095,25075.1614843946,2.1
"Generalists",149,47271.8120805369,146668.008579285,12015.511434711,23744.1224184056,2.2
"Specialists",724,276816.022099447,530558.926993644,19718.0672336777,38711.5061551077,2.2
"Generalists",311,32035.3697749196,72349.6646208531,4102.5730968836,8072.41125159644,2.3
"Specialists",1387,136774.765681327,355189.387744794,9537.21890596843,18708.9434505132,2.3
"Generalists",783,26038.5696040868,62478.89091298,2232.81340368564,4383.01762435731,2.4
"Specialists",2110,71369.8104265403,162406.853410124,3535.59999363131,6933.62785273324,2.4
"Generalists",321,40040.4984423676,81793.2350029682,4565.25319516714,8981.70184259046,2.5
"Specialists",1500,118968.733333333,276461.806082764,7138.21313880647,14001.9463541429,2.5
"Generalists",484,25141.5289256198,80952.6985992066,3679.66811814575,7230.13440689728,2.6
"Specialists",1434,139189.121338912,473531.355219103,12504.7255886392,24529.5300360495,2.6
"Generalists",170,24825.8823529412,62426.2047710435,4787.8713446007,9451.73896346498,2.7
"Specialists",667,358264.017991005,1142577.38023053,44240.7728428294,86868.1875756507,2.7
"Generalists",754,21485.2785145889,72863.3705350348,2653.52744702277,5209.19119642727,2.8
"Specialists",1992,102060.993975904,490818.489641127,10997.0512151446,21566.9351089072,2.8
"Generalists",466,32017.3819742489,93591.6055100478,4335.54740393122,8519.69195203321,2.9
"Specialists",1621,109589.759407773,261953.217491835,6506.27221482866,12761.5937730103,2.9
"Generalists",409,21699.02200489,92911.3421442247,4594.17019201041,9031.19848375997,3
"Specialists",959,260774.973931178,1169810.57561373,37775.153665198,74131.5986381199,3
"Generalists",102,57872.5490196078,145317.438908288,14388.5705086704,28543.0534062622,3.1
"Specialists",915,239827.540983607,616493.884418271,20380.6591463715,39998.3244843379,3.1
"Generalists",154,38098.051948052,160420.946862493,12927.0882892492,25538.6304254584,3.2
"Specialists",651,334156.68202765,754074.028276181,29554.4913198418,58033.7997730189,3.2
"Generalists",190,47820,502976.019414266,36489.7156459922,71979.4335210303,3.3
"Specialists",515,507677.669902913,1773583.64820643,78153.4333229544,153539.453604194,3.3
"Generalists",229,44608.2969432314,140809.529716312,9304.95563578727,18334.7004101727,3.4
"Specialists",920,223211.086956522,630103.560418379,20773.8991978521,40769.7886843456,3.4
"Generalists",418,34310.5263157895,131315.326952979,6422.84258879955,12625.1835403563,3.5
"Specialists",1233,156680.373073804,541718.265994302,15427.3716292426,30266.8275744687,3.5
"Generalists",406,33265.763546798,142413.639016976,7067.87023092013,13894.2927603346,3.6
"Specialists",1259,144693.725178713,345152.51457164,9727.43139870246,19083.7760510924,3.6
"Generalists",196,11007.1428571429,37685.9975356419,2691.85696683157,5308.8912154204,3.7
"Specialists",700,316565,875716.521956512,33098.9733726767,64985.3187202901,3.7
"Generalists",149,80424.8322147651,317630.861073388,26021.3340333268,51421.3434970938,3.8
"Specialists",1051,186185.537583254,492907.318806991,15204.2117247421,29834.0973173122,3.8
"Generalists",821,24787.8197320341,79480.4034614003,2773.88520680731,5444.75164714589,3.9
"Specialists",2314,65014.4770959378,219331.946925372,4559.53145773995,8941.19622061944,3.9
"Generalists",756,24283.3333333333,62730.767401714,2281.4959525478,4478.82985364616,4
"Specialists",2032,71946.6535433071,167773.042838007,3721.86254167134,7299.06633621932,4
"Generalists",248,69951.6129032258,174652.877470496,11090.4688098508,21843.951009782,4.1
"Specialists",1287,120805.128205128,287716.587111939,8020.02323729561,15733.7648535017,4.1
"Generalists",520,28468.2692307692,64897.599886183,2845.94802069779,5590.99389774437,4.2
"Specialists",1862,84583.2438238453,192942.051167326,4471.33339089257,8769.35579448241,4.2
"Generalists",869,23985.6156501726,64907.0816735543,2201.82193921031,4321.51760679612,4.3
"Specialists",2193,69094.9840401277,188732.44195517,4030.20598211292,7903.42259587941,4.3
"Generalists",738,18209.756097561,61278.6824239457,2255.6994719774,4428.36215414872,4.4
"Specialists",1899,96129.5945234334,289855.868162277,6651.50029630431,13045.0198115313,4.4
"Generalists",376,37158.5106382979,143858.0557148,7418.91275548631,14587.8835332193,4.5
"Specialists",1630,99616.4417177914,250969.84567334,6216.23953935284,12192.6647832695,4.5
"Generalists",372,41196.7741935484,142478.158879739,7387.14841562082,14525.9320589875,4.6
"Specialists",1328,136894.126506024,327233.789011505,8979.64367361759,17615.845460971,4.6
"Generalists",1124,20512.8113879004,56508.4494388581,1685.50573684984,3307.09484669466,4.7
"Specialists",2875,45697.8086956522,96869.9789615262,1806.63442311522,3542.43026115992,4.7
"Generalists",173,68726.5895953757,302547.627594899,23002.2701773951,45403.0808929501,4.8
"Specialists",873,218608.24742268,703534.79982509,23811.0453680151,46733.657651224,4.8
"Generalists",664,25531.4759036145,64460.414643707,2501.54923564807,4911.91325107823,4.9
"Specialists",2221,68517.1094101756,161696.247999285,3431.03906909733,6728.38134699053,4.9
"Generalists",249,59883.9357429719,190167.50082475,12051.3756934278,23736.0961584767,5
"Specialists",1071,172050.420168067,398938.479525459,12190.2101529236,23919.4295627719,5
"Generalists",270,11245.1851851852,12475.1215236075,759.21171845534,1494.75271429249,0.1
"Specialists",1572,234632.124681934,678370.635869692,17109.6359843794,33560.1261133528,0.1
"Generalists",202,8477.22772277228,10064.9718304566,708.16894676888,1396.39338220672,0.2
"Specialists",826,444835.472154964,1330872.8590828,46306.9891942497,90893.3781298247,0.2
"Generalists",38,6476.31578947368,7085.25054242496,1149.37941205968,2328.86390187616,0.3
"Specialists",397,973673.299748111,2467415.6711394,123836.04271994,243458.267928666,0.3
"Generalists",88,21393.1818181818,29724.8523886962,3168.67991141741,6298.09443363816,0.4
"Specialists",654,481133.180428135,1095362.28089912,42832.0546177457,84105.1720966212,0.4
"Generalists",106,16869.8113207547,36238.7274290689,3519.8163621673,6979.14564385904,0.5
"Specialists",479,736218.162839248,1994759.32880578,91142.8800982546,179090.224436587,0.5
"Generalists",150,26395.3333333333,70622.0561176948,5766.26673581838,11394.2190560479,0.6
"Specialists",865,294408.554913295,574845.217207357,19545.3237535584,38361.8698899128,0.6
"Generalists",54,46200,36985.4280331113,5033.07925553064,10095.078560898,0.7
"Specialists",328,1062487.19512195,2239555.9938708,123658.793066611,243267.155457126,0.7
"Generalists",119,41561.3445378151,73376.1924041867,6726.38452945708,13320.0726216228,0.8
"Specialists",601,467763.394342762,992006.024019575,40464.7697407048,79469.7980838296,0.8
"Generalists",185,15734.0540540541,26565.5419444326,1953.13748813932,3853.42413521059,0.9
"Specialists",510,641415.882352941,1787987.04271431,79173.3970090302,155546.870296112,0.9
"Generalists",155,25523.8709677419,51492.5780604149,4135.9833993146,8170.58581440144,1
"Specialists",776,382565.850515464,1113024.36715931,39955.2462571184,78433.3344518476,1
"Generalists",158,45394.3037974684,66509.2726102367,5291.19362903032,10451.1083158006,1.1
"Specialists",1101,191207.084468665,376885.65150905,11358.3682320572,22286.5147477137,1.1
"Generalists",195,18446.1538461538,49613.7371137126,3552.91351038118,7007.29596259722,1.2
"Specialists",492,622343.902439024,1812944.24177119,81733.8386075125,160591.236498046,1.2
"Generalists",66,13912.1212121212,36517.9513923327,4495.04908439303,8977.23292652409,1.3
"Specialists",494,582964.170040486,1337489.95890588,60176.5181813746,118234.072399146,1.3
"Generalists",88,66552.2727272727,135243.922656306,14417.0505965337,28655.4491617589,1.4
"Specialists",612,427220.751633987,965873.146603483,39043.1078862142,76674.9698641316,1.4
"Generalists",437,21259.2677345538,110188.005463782,5271.00712656928,10359.7420478342,1.5
"Specialists",1219,171544.462674323,608453.952778671,17427.1297238474,34190.5222224897,1.5
"Generalists",232,57746.9827586207,112232.411495036,7368.41880232884,14517.897266237,1.6
"Specialists",1402,134989.37232525,266944.065967402,7129.28972675363,13985.2331705164,1.6
"Generalists",280,47473.2142857143,109835.956029632,6563.95384901051,12921.1636742968,1.7
"Specialists",1091,172773.785517874,406439.348116655,12305.0496627239,24144.2640798308,1.7
"Generalists",234,41121.7948717949,88690.4342536166,5797.87506318216,11422.9595286242,1.8
"Specialists",989,214701.415571284,474477.15989408,15087.4959196526,29607.2186332727,1.8
"Generalists",39,32400,76619.6965194776,12268.97054877,24837.2323761378,1.9
"Specialists",346,803750,1433589.2673206,77070.2364781634,151586.666577837,1.9
"Generalists",182,38713.7362637363,91151.5438921306,6756.60196226462,13331.8367429088,2
"Specialists",820,267998.658536585,666941.871501234,23290.6204286861,45716.33768602,2
"Generalists",144,51056.25,212599.409810031,17716.6174841692,35020.2995546638,2.1
"Specialists",588,434907.993197279,1202437.04818269,49587.668103704,97390.8513991754,2.1
"Generalists",255,21841.1764705882,68792.2525178852,4307.93795651633,8483.82701808227,2.2
"Specialists",705,414801.134751773,1411321.30932404,53153.4355774954,104358.233796636,2.2
"Generalists",230,42421.3043478261,123706.539730486,8156.96767296428,16072.3038036346,2.3
"Specialists",1230,156531.951219512,439364.211072051,12527.7224284659,24578.0897702579,2.3
"Generalists",95,59887.3684210526,219223.981566947,22491.9059345602,44658.2064853279,2.4
"Specialists",469,601678.251599147,2085027.75228931,96277.6361101619,189189.969462959,2.4
"Generalists",487,21400.205338809,86173.833190283,3904.90912185049,7672.58869865461,2.5
"Specialists",1429,136403.009097271,375987.255167462,9946.19591551948,19510.7227145328,2.5
"Generalists",313,14161.661341853,43570.7375019274,2462.76369241357,4845.7252150867,2.6
"Specialists",777,324181.338481338,973550.709685497,34925.9371621247,68560.5132144736,2.6
"Generalists",219,49765.296803653,90867.8548610263,6140.28060245749,12101.9134315832,2.7
"Specialists",1298,145213.328197227,394978.205130951,10963.1608412246,21507.4709263181,2.7
"Generalists",256,48471.09375,156654.911191343,9790.93194945895,19281.3857767504,2.8
"Specialists",977,198162.026612078,455332.47225308,14567.3763851728,28586.9838167073,2.8
"Generalists",166,34986.1445783133,108953.905686944,8456.46311766801,16696.826648717,2.9
"Specialists",658,352749.544072948,1022709.91801943,39869.3835582146,78286.7758117667,2.9
"Generalists",460,21443.6956521739,47696.3930279956,2223.85579171628,4370.20076868517,3
"Specialists",1640,110663.780487805,303947.636450458,7505.45190884518,14721.2866308701,3
"Generalists",357,40179.8319327731,120277.004895837,6365.73414205023,12519.1710199836,3.1
"Specialists",1405,135698.647686833,375979.181156899,10030.5705199737,19676.519507414,3.1
"Generalists",417,19756.1151079137,68088.1387026163,3334.2904975827,6554.15783110108,3.2
"Specialists",814,307241.400491401,1035832.75739736,36305.9193584691,71264.3874457437,3.2
"Generalists",342,43879.5321637427,117451.868930737,6351.0696974694,12492.2056074551,3.3
"Specialists",1424,122716.924157303,240067.920440331,6361.78716810716,12479.4882814108,3.3
"Generalists",120,16189.1666666667,65829.247919543,6009.36067152229,11899.1343232664,3.4
"Specialists",621,399913.84863124,1176071.12031276,47194.1083694627,92679.6758912996,3.4
"Generalists",245,31360.4081632653,92481.7386927603,5908.44155412527,11638.0581705152,3.5
"Specialists",1136,159086.531690141,408034.262472509,12106.1894654258,23753.0251171201,3.5
"Generalists",407,28821.8673218673,129902.301820173,6439.01804327493,12657.9773549311,3.6
"Specialists",1509,136477.601060305,494134.100710214,12720.383538984,24951.5201462243,3.6
"Generalists",340,39119.7058823529,73038.0221417538,3961.04289534495,7791.31774595174,3.7
"Specialists",1553,109169.735994849,261240.17445341,6629.09491463816,13002.9277943812,3.7
"Generalists",468,39383.3333333333,141324.461300528,6532.72553456896,12837.1764829967,3.8
"Specialists",1745,102439.484240688,241338.642589296,5777.35627301577,11331.2742181197,3.8
"Generalists",919,18188.9009793254,55274.5810497804,1823.34018614643,3578.3990365787,3.9
"Specialists",2417,61416.7976830782,151851.122953452,3088.72812536924,6056.83020107665,3.9
"Generalists",268,39205.9701492537,117269.0885965,7163.34969700237,14103.8377170536,4
"Specialists",1076,176182.156133829,470416.360889933,14340.8958657172,28139.3214303664,4
"Generalists",290,45487.2413793103,124388.38193271,7304.33729436047,14376.4436698561,4.1
"Specialists",1341,142181.953765846,359192.264550472,9808.72562410889,19242.1292799553,4.1
"Generalists",535,31024.8598130841,95514.5562113341,4129.45436604056,8111.96769353639,4.2
"Specialists",1840,91485.652173913,256797.924928406,5986.63249354685,11741.3117045472,4.2
"Generalists",809,23749.4437577256,58925.9663283918,2071.7266488269,4066.60113060711,4.3
"Specialists",2161,65910.7820453494,168278.287257737,3619.93439406097,7098.91890839394,4.3
"Generalists",184,56672.2826086957,177552.609130277,13089.3520052869,25825.4474678439,4.4
"Specialists",838,245454.892601432,665691.558248074,22995.9333004012,45136.4701408249,4.4
"Generalists",511,17898.8258317025,61041.3186854111,2700.30895777215,5305.09817920699,4.5
"Specialists",1503,125837.724550898,330972.472044142,8537.13960656709,16745.9804761112,4.5
"Generalists",702,24099.4301994302,118333.697385434,4466.21759716476,8768.76555980593,4.6
"Specialists",2287,68345.4744206384,190804.05752661,3989.83121355333,7824.06804199303,4.6
"Generalists",89,32153.9325842697,65003.9195604594,6890.40169261909,13693.2254483575,4.7
"Specialists",475,494551.789473684,1351949.24580007,62031.6856761949,121891.106252101,4.7
"Generalists",359,35977.1587743733,107318.804715372,5664.06987880824,11139.0307312801,4.8
"Specialists",1518,113997.957839262,266823.277223099,6848.37965256467,13433.2953116851,4.8
"Generalists",934,15186.5096359743,62803.4588006265,2054.99194716532,4032.94195313697,4.9
"Specialists",2357,73294.4420873992,299270.617819073,6164.30741527176,12088.0305392038,4.9
"Generalists",593,25947.0489038786,76982.4685787113,3161.29108587501,6208.71014452987,5
"Specialists",1937,79611.5126484254,219117.50398901,4978.65762813635,9764.09397517259,5
"Generalists",177,7693.78531073446,9780.47195245391,735.145289505505,1450.83450879927,0.1
"Specialists",1032,424011.627906977,1280223.89164761,39851.629049909,78199.5598629273,0.1
"Generalists",162,6422.83950617284,9323.09144667959,732.491242618826,1446.52963306098,0.2
"Specialists",874,399920.480549199,1123933.70403649,38017.6246474187,74616.62429594,0.2
"Generalists",69,5942.02898550725,7389.20925875941,889.556260245015,1775.08188007785,0.3
"Specialists",385,997564.415584416,2738182.09799446,139550.681588766,274379.102179912,0.3
"Generalists",142,19158.4507042254,29774.5982530203,2498.62878047078,4939.61791452046,0.4
"Specialists",834,371896.522781775,704042.082973552,24378.9835236658,47851.4570038709,0.4
"Generalists",116,12011.2068965517,19608.7015801957,1820.62223557367,3606.30225372578,0.5
"Specialists",370,903488.918918919,2539263.97585816,132010.048134049,259586.365069061,0.5
"Generalists",292,18182.5342465753,30326.106211549,1774.7011304957,3492.87723890818,0.6
"Specialists",1087,213905.795768169,474140.88077179,14381.1173478307,28217.9207870441,0.6
"Generalists",76,14605.2631578947,30130.1085062183,3456.16047727687,6885.02473136067,0.7
"Specialists",410,757405.609756098,1730189.7947935,85447.983406931,167972.028157806,0.7
"Generalists",45,36833.3333333333,97492.5614878107,14533.3329858215,29290.0080482186,0.8
"Specialists",226,1610778.31858407,3879465.0385409,258058.175725315,508519.993650026,0.8
"Generalists",115,41991.3043478261,95607.4031535081,8915.43631440165,17661.4106719239,0.9
"Specialists",615,415874.634146341,940801.835746402,37936.7915496204,74501.6034460938,0.9
"Generalists",54,41344.4444444444,62088.7790022273,8449.21262821596,16946.9743926333,1
"Specialists",539,493294.990723562,872850.731197812,37596.3425113052,73853.622802348,1
"Generalists",241,23151.4522821577,64043.0617498785,4125.37626011819,8126.56893860834,1.1
"Specialists",672,382600.892857143,1033059.55675771,39851.1375795172,78247.9353282826,1.1
"Generalists",91,29417.5824175824,84501.0145809,8858.11322727751,17598.1880273035,1.2
"Specialists",505,520849.702970297,1481843.72272393,65941.1801889043,129553.449999409,1.2
"Generalists",276,27551.4492753623,64625.6619286034,3890.00772125372,7657.97761787205,1.3
"Specialists",764,309391.09947644,753691.266772244,27267.5930433536,53528.4113387796,1.3
"Generalists",202,33232.1782178218,139290.5553516,9800.44927495046,19324.8836631915,1.4
"Specialists",789,310158.681875792,931829.566392555,33174.0110230178,65119.8880371944,1.4
"Generalists",23,77095.652173913,120644.404151061,25156.0972408233,52170.5525613182,1.5
"Specialists",312,964835.576923077,1766121.7507229,99986.9548923392,196736.445501155,1.5
"Generalists",24,46050,63115.7390968301,12883.4462938221,26651.4392241401,1.6
"Specialists",328,991160.06097561,2344119.61420676,129432.353149417,254625.163273428,1.6
"Generalists",363,33564.1873278237,76654.2155993927,4023.30291007536,7911.98132714744,1.7
"Specialists",1487,117127.034297243,309234.337866111,8019.2218518554,15730.198268203,1.7
"Generalists",718,23753.4818941504,61195.4842215889,2283.79518748444,4483.72505086659,1.8
"Specialists",1873,93151.1478910838,240449.12232605,5555.89855654493,10896.406200383,1.8
"Generalists",197,33700,64604.5363921836,4602.88263377964,9077.53458054916,1.9
"Specialists",787,327103.684879288,1080003.65890867,38497.9727391825,75571.0090509623,1.9
"Generalists",94,65764.8936170213,247395.503608903,25516.8978651116,50671.5020770157,2
"Specialists",491,501815.071283096,1139057.19002153,51404.9313756443,101001.289818803,2
"Generalists",544,28104.7794117647,79889.9347315175,3425.25269339566,6728.36908553611,2.1
"Specialists",1452,120316.73553719,317550.411202609,8333.53706314102,16347.0683661772,2.1
"Generalists",188,39271.8085106383,75918.6385696773,5536.93578474886,10922.8850525664,2.2
"Specialists",1172,164100.170648464,404128.63012165,11804.7233302792,23160.7714995323,2.2
"Generalists",347,40267.4351585014,119758.60235574,6428.97862061491,12644.7973716538,2.3
"Specialists",1219,144591.55045119,388309.255787854,11121.8207108059,21820.0509316807,2.3
"Generalists",150,60520,134197.126865892,10957.1495256325,21651.4718525607,2.4
"Specialists",723,319648.547717842,793332.66658431,29504.3593344592,57924.5839377875,2.4
"Generalists",256,48841.40625,131356.691180978,8209.7931988111,16167.6325227003,2.5
"Specialists",1103,177774.705349048,454931.846478527,13698.0448386938,26877.194134704,2.5
"Generalists",559,26510.5545617174,78044.8621988772,3300.94595745343,6483.79874570616,2.6
"Specialists",1528,114552.486910995,317951.817150295,8133.91508601013,15954.8269194328,2.6
"Generalists",606,22744.2244224422,69372.3241882653,2818.05803604617,5534.36393426955,2.7
"Specialists",1486,124872.543741588,386604.121256157,10028.9871451525,19672.4876470735,2.7
"Generalists",986,22841.4807302231,56793.984930648,1808.68894621517,3549.32650171872,2.8
"Specialists",2771,50005.7019126669,136306.434091339,2589.39373852793,5077.33701934507,2.8
"Generalists",626,30500.4792332268,75675.3071468492,3024.5935781079,5939.59661727645,2.9
"Specialists",2001,75401.3493253373,171967.650542706,3844.35259740085,7539.35527221019,2.9
"Generalists",189,48819.5767195767,145722.402547018,10599.7450813101,20909.7216706526,3
"Specialists",915,240932.677595628,552739.303139522,18272.9977033259,35861.9064373742,3
"Generalists",178,33100.5617977528,65331.0176263112,4896.76679852674,9663.55970307802,3.1
"Specialists",761,313203.94218134,996331.577250538,36116.9914589434,70900.9151098607,3.1
"Generalists",466,27332.8326180257,93526.6867517219,4332.54010052413,8513.78236409709,3.2
"Specialists",1578,102052.154626109,224948.331300823,5662.77461332416,11107.3592016567,3.2
"Generalists",408,10791.1764705882,33309.0608355692,1649.04423725997,3241.70721963802,3.3
"Specialists",920,253898.152173913,1056357.28379154,34827.0682930776,68349.8173010704,3.3
"Generalists",487,25157.2895277207,81136.1510261475,3676.62995278673,7224.05273583384,3.4
"Specialists",1713,95576.8242848803,212130.062942355,5125.35013562983,10052.6086687822,3.4
"Generalists",499,25675.751503006,125541.885653355,5620.02664636135,11041.8854374211,3.5
"Specialists",1347,138604.677060134,468222.491150118,12757.5850829358,25026.9119149352,3.5
"Generalists",494,23939.0688259109,95384.3493948351,4291.54476813594,8431.9736361385,3.6
"Specialists",1456,122188.186813187,289062.470396321,7575.49511454605,14860.0589872857,3.6
"Generalists",540,23821.6666666667,59655.2594073114,2567.15362442445,5042.85230215819,3.7
"Specialists",1872,88281.7307692308,203000.662028909,4691.85446088698,9201.81842715376,3.7
"Generalists",274,38771.897810219,116254.200658488,7023.17310602325,13826.4620381997,3.8
"Specialists",1176,148733.24829932,414627.962549142,12090.7969206573,23721.9620116031,3.8
"Generalists",892,17319.2825112108,53057.1943090382,1776.48626209225,3486.58527736034,3.9
"Specialists",2278,66617.3397717296,198782.30557275,4164.86437508716,8167.32556900052,3.9
"Generalists",647,17878.0525502318,73698.0630823085,2897.36983059027,5689.39999776064,4
"Specialists",1703,105145.096887845,338218.872056446,8195.78416665312,16074.87317927,4
"Generalists",674,26906.2314540059,86964.4253907777,3349.74450585749,6577.2070732199,4.1
"Specialists",1847,86936.7623172712,203878.51864536,4743.92726476227,9304.02687624953,4.1
"Generalists",488,26386.0655737705,70324.904022413,3183.45882551884,6255.00984440566,4.2
"Specialists",1430,132294.195804196,488831.105195297,12926.7935928415,25357.5274207063,4.2
"Generalists",949,21605.0579557429,65311.5696850692,2120.10326774144,4160.63805064694,4.3
"Specialists",2539,60985.2697912564,147734.075714783,2931.90118453013,5749.16246413796,4.3
"Generalists",471,38850.3184713376,159444.058337901,7346.79440174039,14436.6285865377,4.4
"Specialists",1657,91555.5823777912,217016.575608144,5331.28196063623,10456.7633507381,4.4
"Generalists",954,21561.9496855346,68325.0395319658,2212.10483141332,4341.15919987699,4.5
"Specialists",2381,59528.1814363713,173875.799678611,3563.35788399648,6987.60667921062,4.5
"Generalists",660,25214.5454545455,90621.5427292076,3527.43876664882,6926.37398781512,4.6
"Specialists",1942,78363.3367662204,182637.521643261,4144.4355702159,8128.01284887172,4.6
"Generalists",780,27649.358974359,135525.681453184,4852.59781514774,9525.71705278848,4.7
"Specialists",2399,63365.3188828679,152870.110300348,3121.09835622747,6120.32951421042,4.7
"Generalists",134,103920.149253731,284286.755786771,24558.635213515,48576.0291531579,4.8
"Specialists",758,253671.503957784,680762.809719417,24726.418714605,48540.4992296575,4.8
"Generalists",447,33445.4138702461,92516.350368043,4375.87321689525,8599.89136574922,4.9
"Specialists",1789,89847.2889882616,229227.687136552,5419.53346303389,10629.2856817697,4.9
"Generalists",264,60282.5757575758,135550.362167847,8342.54809101442,16426.6855371965,5
"Specialists",1484,110212.668463612,212883.49420535,5526.18016234643,10839.9611046152,5
"Generalists",281,5986.4768683274,6919.15266594412,412.76204278821,812.510730163866,0.1
"Specialists",1317,327407.82080486,821101.955344772,22625.8132844176,44386.6022025865,0.1
"Generalists",63,12568.253968254,19135.1713445705,2410.80498439729,4819.13049693228,0.2
"Specialists",516,780984.108527132,1653213.87612522,72778.6827792276,142979.617180618,0.2
"Generalists",61,18867.2131147541,26312.0170347535,3368.90856587105,6738.82046687704,0.3
"Specialists",538,628871.933085502,1427494.90240731,61543.6753127533,120895.868119131,0.3
"Generalists",33,29784.8484848485,61904.5188234072,10776.1935298441,21950.3879165185,0.4
"Specialists",434,804777.880184332,1813321.32483039,87042.2089871134,171077.784815873,0.4
"Generalists",35,23285.7142857143,23387.3412574503,3953.18219410438,8033.8328083012,0.5
"Specialists",430,771068.372093023,1590261.08711677,76689.1994638979,150733.32117996,0.5
"Generalists",33,15906.0606060606,19849.8101280897,3455.40841826352,7038.4366224337,0.6
"Specialists",298,1134703.69127517,2582318.45120898,149589.691434282,294390.048308779,0.6
"Generalists",118,35524.5762711864,51921.7687931107,4779.7862467323,9466.11619456093,0.7
"Specialists",756,366009.259259259,965752.86437058,35124.0920920524,68952.4923629272,0.7
"Generalists",89,63057.3033707865,109792.726087553,11638.0056892925,23128.0907531785,0.8
"Specialists",596,437602.684563758,819152.329228316,33553.7867935679,65898.2608779851,0.8
"Generalists",107,33040.1869158878,55532.2358529949,5368.50387173801,10643.5810758853,0.9
"Specialists",737,338619.810040706,883592.580201066,32547.5510146419,63897.1046618971,0.9
"Generalists",69,43269.5652173913,62659.8950083324,7543.36491484283,15052.5503260068,1
"Specialists",436,651155.733944954,1847184.68131548,88464.1020710913,173870.214996427,1
"Generalists",100,39982,134243.409544233,13424.3409544233,26636.8048856424,1.1
"Specialists",338,950842.603550296,2444781.67632322,132978.592449905,261572.652604459,1.1
"Generalists",66,18430.303030303,30376.8280599486,3739.12905712191,7467.55638434821,1.2
"Specialists",400,796328.5,2025994.97058602,101299.748529301,199147.940703674,1.2
"Generalists",201,16299.0049751244,50489.5830741845,3561.26060679045,7022.43634190629,1.3
"Specialists",617,445911.669367909,1345836.32986303,54181.3305023676,106402.517189491,1.3
"Generalists",58,94546.5517241379,149987.652375433,19694.3436064222,39437.2428152692,1.4
"Specialists",635,375338.582677165,721724.618813695,28640.7678547535,56242.2415565794,1.4
"Generalists",369,28766.3956639566,54130.552313522,2817.92399597024,5541.25385388245,1.5
"Specialists",1335,151369.438202247,444003.542718789,12151.9452041564,23839.004206675,1.5
"Generalists",186,43989.247311828,77785.4303906073,5703.50447873843,11252.2725741823,1.6
"Specialists",940,228650,545239.61061344,17783.7552271937,34900.5052694252,1.6
"Generalists",118,54853.3898305085,131696.062724475,12123.6052621297,24010.1649287702,1.7
"Specialists",964,219501.452282158,574450.59609153,18501.8079006133,36308.5111791166,1.7
"Generalists",61,33288.5245901639,59237.1142059904,7584.53527916364,15171.3293999013,1.8
"Specialists",418,613544.258373206,1318946.52241694,64511.7831489842,126808.822030281,1.8
"Generalists",359,32547.6323119777,82434.7142307183,4350.73781412975,8556.21545148217,1.9
"Specialists",1402,144757.774607703,393844.233821065,10518.4194297263,20633.548915538,1.9
"Generalists",240,43637.9166666667,122069.395603165,7879.54560421102,15522.227386455,2
"Specialists",883,235359.343148358,594050.409584455,19991.3879852258,39236.2428952921,2
"Generalists",226,29195.5752212389,79387.7246479502,5280.79289131547,10406.1371433442,2.1
"Specialists",960,250120,820259.401247388,26473.7583383433,51953.1821440716,2.1
"Generalists",320,36712.1875,126610.189441589,7077.72475588796,13924.9165994156,2.2
"Specialists",1143,188122.222222222,602096.616645072,17809.1450692474,34942.316357985,2.2
"Generalists",221,38685.520361991,76027.2455249719,5114.14596671265,10078.98747147,2.3
"Specialists",1050,191954.19047619,615619.673646104,18998.4355892327,37279.2624865995,2.3
"Generalists",123,51692.6829268293,172419.956326013,15546.5839029851,30776.0156052313,2.4
"Specialists",643,384439.968895801,918009.036669155,36202.7423801254,71090.093186704,2.4
"Generalists",300,44207.6666666667,112636.922137686,6503.09573168837,12797.6350311639,2.5
"Specialists",1181,180212.447078747,539136.423120131,15688.2219241716,30779.9213695835,2.5
"Generalists",111,74686.4864864865,151585.13568678,14387.8243574334,28513.2907969801,2.6
"Specialists",840,247491.666666667,479230.464415025,16535.0219240225,32454.8665759038,2.6
"Generalists",565,31980.7079646018,81332.2373747171,3421.67294288941,6720.77823020108,2.7
"Specialists",1801,92853.359244864,243282.843668499,5732.63943807274,11243.3270401037,2.7
"Generalists",123,107517.886178862,298709.765665088,26933.7525278834,53318.0532313868,2.8
"Specialists",895,225976.87150838,478858.053105259,16006.4594162265,31414.614456012,2.8
"Generalists",373,51935.9249329759,159388.655802108,8252.83176656959,16228.0506815149,2.9
"Specialists",1581,106116.382036686,255075.704827967,6415.09600827398,12582.9962564594,2.9
"Generalists",294,55706.8027210884,138250.158414694,8062.91297559385,15868.5662368257,3
"Specialists",1284,141180.919003115,327198.521334698,9131.22029543756,17913.7622384734,3
"Generalists",554,20290.4332129964,90030.7120523383,3825.03842802976,7513.38165159462,3.1
"Specialists",1560,125786.923076923,381706.505766836,9664.2301265506,18956.2599086734,3.1
"Generalists",361,22723.8227146814,79276.1000681348,4172.42631937552,8205.39120942946,3.2
"Specialists",1165,165679.82832618,555062.532510107,16262.186978353,31906.4775760823,3.2
"Generalists",331,25721.4501510574,63404.0410169938,3485.00127533369,6855.62019032472,3.3
"Specialists",1333,145654.013503376,474513.23295723,12996.7047659141,25496.2408771063,3.3
"Generalists",360,35575,123077.870983802,6486.77336455269,12756.8491744057,3.4
"Specialists",1285,151535.719844358,478897.698974334,13359.5302138713,26208.9035344526,3.4
